file_id,algorithm_name,variation_id,operation_label,crypto_type,xor_ops,shift_ops,add_ops,mul_ops,branch_ops,loop_ops,memory_access,bitwise_ops,entropy,bitFlipDensity,cyclomaticComplexity,basicBlocks,constantOccurrence,stringReferences,apiCalls,codeSize,dataSegmentSize,stackUsage,has_sbox,has_permutation,has_rounds,key_schedule,bitwise_heavy,arithmetic_heavy,is_proprietary
crypto_0_0,CustomXOR,0,Encryption,BlockCipher,52,33,19,35,21,6,23,66,3.0318,0.4900,10,59,13,4,17,256,436,244,0,0,0,0,1,1,1
crypto_0_1,CustomXOR,1,Encryption,BlockCipher,15,10,38,23,20,12,60,52,3.1045,0.4910,14,62,14,5,15,1140,453,263,0,0,0,0,0,1,1
crypto_0_2,CustomXOR,2,Encryption,BlockCipher,28,27,12,11,19,18,37,38,3.5454,0.4920,18,65,15,6,13,2024,470,282,0,0,0,0,1,0,1
crypto_0_3,CustomXOR,3,Encryption,BlockCipher,41,44,31,34,18,24,74,24,3.9538,0.4930,22,68,16,7,11,860,487,301,0,0,0,0,1,1,1
crypto_0_4,CustomXOR,4,Encryption,BlockCipher,54,21,50,22,17,5,51,65,3.9588,0.4940,26,71,17,8,9,1744,504,320,0,0,0,0,1,1,1
crypto_0_5,CustomXOR,5,Encryption,BlockCipher,17,38,24,10,16,11,28,51,3.5603,0.4950,30,74,18,9,7,580,521,339,0,0,0,0,1,0,1
crypto_0_6,CustomXOR,6,Encryption,BlockCipher,30,15,43,33,15,17,65,37,3.1294,0.4960,34,17,19,0,5,1464,538,358,0,0,0,0,1,1,1
crypto_0_7,CustomXOR,7,Encryption,BlockCipher,43,32,17,21,14,23,42,23,3.0668,0.4970,38,20,20,1,3,300,555,377,0,0,0,0,1,0,1
crypto_0_8,CustomXOR,8,Encryption,BlockCipher,56,9,36,9,13,4,19,64,3.4346,0.4980,42,23,21,2,16,1184,572,396,0,0,0,0,1,0,1
crypto_0_9,CustomXOR,9,Encryption,BlockCipher,19,26,10,32,12,10,56,50,3.8994,0.4990,46,26,22,3,14,2068,77,415,0,0,0,0,1,0,1
crypto_0_10,CustomXOR,10,Encryption,BlockCipher,32,43,29,20,11,16,33,36,4.0383,0.5000,10,29,23,4,12,904,94,434,0,0,0,0,1,0,1
crypto_0_11,CustomXOR,11,Encryption,BlockCipher,45,20,48,8,10,22,70,22,3.7283,0.5010,14,32,24,5,10,1788,111,453,0,0,0,0,1,1,1
crypto_0_12,CustomXOR,12,Encryption,BlockCipher,58,37,22,31,9,3,47,63,3.2590,0.5020,18,35,25,6,8,624,128,472,0,0,0,0,1,1,1
crypto_0_13,CustomXOR,13,Encryption,BlockCipher,21,14,41,19,8,9,24,49,3.0664,0.5030,22,38,26,7,6,1508,145,491,0,0,0,0,1,1,1
crypto_0_14,CustomXOR,14,Encryption,BlockCipher,34,31,15,7,7,15,61,35,3.3323,0.5040,26,41,27,8,4,344,162,510,0,0,0,0,1,0,1
crypto_0_15,CustomXOR,15,Encryption,BlockCipher,47,8,34,30,6,21,38,21,3.8167,0.5050,30,44,28,9,17,1228,179,529,0,0,0,0,0,1,1
crypto_0_16,CustomXOR,16,Encryption,BlockCipher,10,25,8,18,5,2,15,62,4.0789,0.5060,34,47,29,0,15,2112,196,548,0,0,0,0,1,0,1
crypto_0_17,CustomXOR,17,Encryption,BlockCipher,23,42,27,6,34,8,52,48,3.8824,0.5070,38,50,30,1,13,948,213,567,0,0,0,0,1,0,1
crypto_0_18,CustomXOR,18,Encryption,BlockCipher,36,19,46,29,33,14,29,34,3.4125,0.5080,42,53,31,2,11,1832,230,586,0,0,0,0,1,1,1
crypto_0_19,CustomXOR,19,Encryption,BlockCipher,49,36,20,17,32,20,66,20,3.1058,0.5090,46,56,32,3,9,668,247,605,0,0,0,0,1,0,1
crypto_0_20,CustomXOR,20,Encryption,BlockCipher,12,13,39,5,31,26,43,61,3.2488,0.5100,10,59,33,4,7,1552,264,624,0,0,0,0,1,0,1
crypto_0_21,CustomXOR,21,Encryption,BlockCipher,25,30,13,28,30,7,20,47,3.7148,0.5110,14,62,34,5,5,388,281,643,0,0,0,0,1,0,1
crypto_0_22,CustomXOR,22,Encryption,BlockCipher,38,7,32,16,29,13,57,33,4.0798,0.5120,18,65,5,6,3,1272,298,662,0,0,0,0,0,0,1
crypto_0_23,CustomXOR,23,Encryption,BlockCipher,51,24,51,4,28,19,34,19,4.0129,0.5130,22,68,6,7,16,2156,315,681,0,0,0,0,1,1,1
crypto_0_24,CustomXOR,24,Encryption,BlockCipher,14,41,25,27,27,25,71,60,3.5802,0.5140,26,71,7,8,14,992,332,700,0,0,0,0,1,1,1
crypto_0_25,CustomXOR,25,Encryption,BlockCipher,27,18,44,15,26,6,48,46,3.1841,0.5150,30,74,8,9,12,1876,349,719,0,0,0,0,1,1,1
crypto_0_26,CustomXOR,26,Encryption,BlockCipher,40,35,18,3,25,12,25,32,3.1934,0.5160,34,17,9,0,10,712,366,738,0,0,0,0,1,0,1
crypto_0_27,CustomXOR,27,Encryption,BlockCipher,53,12,37,26,24,18,62,18,3.6041,0.5170,38,20,10,1,8,1596,383,757,0,0,0,0,1,1,1
crypto_0_28,CustomXOR,28,Encryption,BlockCipher,16,29,11,14,23,24,39,59,4.0432,0.5180,42,23,11,2,6,432,400,776,0,0,0,0,1,0,1
crypto_0_29,CustomXOR,29,Encryption,BlockCipher,29,6,30,37,22,5,16,45,4.1116,0.5190,46,26,12,3,4,1316,417,795,0,0,0,0,0,1,1
crypto_0_30,CustomXOR,30,Encryption,BlockCipher,42,23,49,25,21,11,53,31,3.7510,0.5200,10,29,13,4,17,2200,434,814,0,0,0,0,1,1,1
crypto_0_31,CustomXOR,31,Encryption,BlockCipher,55,40,23,13,20,17,30,17,3.2975,0.5210,14,32,14,5,15,1036,451,833,0,0,0,0,1,0,1
crypto_0_32,CustomXOR,32,Encryption,BlockCipher,18,17,42,36,19,23,67,58,3.1727,0.5220,18,35,15,6,13,1920,468,852,0,0,0,0,1,1,1
crypto_0_33,CustomXOR,33,Encryption,BlockCipher,31,34,16,24,18,4,44,44,3.4959,0.5230,22,38,16,7,11,756,485,871,0,0,0,0,1,0,1
crypto_0_34,CustomXOR,34,Encryption,BlockCipher,44,11,35,12,17,10,21,30,3.9746,0.5240,26,41,17,8,9,1640,502,890,0,0,0,0,1,0,1
crypto_0_35,CustomXOR,35,Encryption,BlockCipher,57,28,9,35,16,16,58,16,4.1732,0.5250,30,44,18,9,7,476,519,141,0,0,0,0,1,0,1
crypto_0_36,CustomXOR,36,Encryption,BlockCipher,20,5,28,23,15,22,35,57,3.9138,0.5260,34,47,19,0,5,1360,536,160,0,0,0,0,1,1,1
crypto_0_37,CustomXOR,37,Encryption,BlockCipher,33,22,47,11,14,3,72,43,3.4394,0.5270,38,50,20,1,3,2244,553,179,0,0,0,0,1,1,1
crypto_0_38,CustomXOR,38,Encryption,BlockCipher,46,39,21,34,13,9,49,29,3.1908,0.5280,42,53,21,2,16,1080,570,198,0,0,0,0,1,1,1
crypto_0_39,CustomXOR,39,Encryption,BlockCipher,59,16,40,22,12,15,26,15,3.4011,0.5290,46,56,22,3,14,1964,75,217,0,0,0,0,1,1,1
crypto_0_40,CustomXOR,40,Encryption,BlockCipher,22,33,14,10,11,21,63,56,3.8816,0.5300,10,59,23,4,12,800,92,236,0,0,0,0,1,0,1
crypto_0_41,CustomXOR,41,Encryption,BlockCipher,35,10,33,33,10,2,40,42,4.1951,0.5310,14,62,24,5,10,1684,109,255,0,0,0,0,1,1,1
crypto_0_42,CustomXOR,42,Encryption,BlockCipher,48,27,52,21,9,8,17,28,4.0580,0.5320,18,65,25,6,8,520,126,274,0,0,0,0,1,1,1
crypto_0_43,CustomXOR,43,Encryption,BlockCipher,11,44,26,9,8,14,54,14,3.6009,0.5330,22,68,26,7,6,1404,143,293,0,0,0,0,0,0,1
crypto_0_44,CustomXOR,44,Encryption,BlockCipher,24,21,45,32,7,20,31,55,3.2487,0.5340,26,71,27,8,4,2288,160,312,0,0,0,0,1,1,1
crypto_0_45,CustomXOR,45,Encryption,BlockCipher,37,38,19,20,6,26,68,41,3.3298,0.5350,30,74,28,9,17,1124,177,331,0,0,0,0,1,0,1
crypto_0_46,CustomXOR,46,Encryption,BlockCipher,50,15,38,8,5,7,45,27,3.7742,0.5360,34,17,29,0,15,2008,194,350,0,0,0,0,1,0,1
